id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,11.6594,3.01228,0,0,0,-0.0102717,0.999947,
1,7.59653,3.01238,0,0,0,0.00548377,0.999985,
2,7.2377,-0.934171,0,0,0,0.00544622,0.999985,
3,8.99348,-2.89699,0,0,0,-0.00632536,0.99998,
4,7.60271,-5.8727,0,0,0,0.0054805,0.999985,
5,0.450443,-5.94408,0,0,0,-0.00461943,0.999989,
6,0.528675,-3.95534,0,0,0,0.0125649,0.999921,
7,4.34909,-3.70508,0,0,0,0.0254308,0.999677,
8,4.00628,-1.99264,0,0,0,-0.00306354,0.999995,
9,-1.01315,-1.97909,0,0,0,-0.00234755,0.999997,
10,-1.78906,-4.54782,0,0,0,-0.0189279,0.999821,
