id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,1.4195,-1.53728,0,0,0,0.00380696,0.999993,
1,3.9783,-1.8998,0,0,0,-0.00808357,0.999967,
2,4.01099,-3.81612,0,0,0,0.00311687,0.999995,
3,0.554148,-4.02283,0,0,0,-0.00688196,0.999976,
4,0.469767,-5.98464,0,0,0,0.00116854,0.999999,
5,7.28774,-6.03143,0,0,0,0.0183416,0.999832,
6,9.33707,-3.18912,0,0,0,-0.00245735,0.999997,
7,13.0416,-0.871288,0,0,0,0.0084868,0.999964,
8,12.9065,1.87381,0,0,0,0.000184292,1,
9,11.7622,3.06587,0,0,0,0.00571074,0.999984,
