id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,1.00,1.00,0.0,0.0,0.0,0.0,1.0,0.0,
1,2.67,0.58,0.0,0.0,0.0,0.0,1.0,0.0,
