id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,-1.82377,-4.53878,-4.76837e-07,0,0,0.00249888,0.999997,
1,-0.464971,-1.25691,3.8147e-06,0,0,-0.00511882,0.999987,
2,2.69885,0.551228,0,0,0,0.00348325,0.999994,
3,4.12507,-2.22003,9.53674e-07,0,0,0.00482709,0.999988,
4,4.09349,-3.87275,1.90735e-06,0,0,0,1,
5,0.59566,-3.9733,0,0,0,-0.00271324,0.999996,
6,0.291161,-5.90667,9.53674e-07,0,0,-0.00806531,0.999967,
7,0.775022,-5.90292,-1.43051e-06,0,0,0.00125125,0.999999,
8,4.33052,-5.89746,4.76837e-07,0,0,-0.00391192,0.999992,
9,4.83052,-5.89746,0,0,0,0.0193872,0.999812,
10,7.06813,-5.88858,0,0,0,0.0193872,0.999812,
11,9.76482,-3.35477,0,0,0,-2.35375e-08,1,
12,13.2577,-0.64544,1.90735e-06,0,0,-0.0320206,0.999487,
13,10.965,2.7601,-9.53674e-07,0,0,-0.0634263,0.997986,
14,7.7124,3.33622,1.90735e-06,0,0,-0.0196943,0.999806,
15,7.05861,-0.646481,-1.90735e-06,0,0,0.00909244,0.999959,
16,8.18607,-3.28241,0,0,0,-0.0289841,0.99958,
